,title,genre,year,decade,runtime,rating,director,actor1,actor2,actor3,gross
2570,Panic Room,"Crime,Drama,Thriller",2002,2000,112,6.8,David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,95.31
2571,Paparazzi,"Action,Crime,Drama,Thriller",2004,2000,84,5.8,Paul Abascal,Cole Hauser,Tom Hollander,Kelly Carlson,15.71
2572,Paper Towns,"Drama,Mystery,Romance",2015,2010,109,6.3,Jake Schreier,Nat Wolff, Cara Delevingne, Austin Abrams,31.99
2573,ParaNorman,"Adventure,Animation,Comedy,Family,Fantasy",2012,2010,92,7.0,Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,55.99
2574,Paranormal Activity,Horror,2007,2000,84,6.3,Oren Peli,Micah Sloat,Ashley Palmer,Amber Armstrong,107.92
2575,Paranormal Activity 2,Horror,2010,2010,98,5.7,Tod Williams,Sprague Grayden,Molly Ephraim,Micah Sloat,84.75
2576,Paranormal Activity 3,Horror,2011,2010,94,5.8,Henry Joost,Johanna Braddy,Sprague Grayden,Christopher Nicholas Smith,104.01
2577,Paranormal Activity 4,Horror,2012,2010,96,4.6,Henry Joost,Matt Shively,Brendon Eggertsen,Alisha Boe,53.88
2578,Paranormal Activity: The Marked Ones,"Fantasy,Horror,Thriller",2014,2010,101,5.0,Christopher Landon,Richard Cabral,Gloria Sandoval,Molly Ephraim,32.45
2579,Parental Guidance,"Comedy,Family",2012,2010,105,6.1,Andy Fickman,Bailee Madison,Gedde Watanabe,Tom Everett Scott,77.26
2580,"Paris, je t'aime","Comedy,Drama,Romance",2006,2000,120,7.3,Olivier Assayas,Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,4.86
2581,Parker,"Action,Crime,Romance,Thriller",2013,2010,118,6.2,Taylor Hackford,Jason Statham,Clifton Collins Jr.,Wendell Pierce,17.61
2582,Party Monster,"Biography,Crime,Drama,Thriller",2003,2000,98,6.3,Fenton Bailey,Macaulay Culkin,Mia Kirshner,Marilyn Manson,0.3
2583,Passengers,"Adventure,Drama,Romance",2016,2010,116,7.0,Morten Tyldum,Jennifer Lawrence, Chris Pratt, Michael Sheen,100.01
2584,Patch Adams,"Biography,Comedy,Drama,Romance",1998,1990,115,6.7,Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,135.01
2585,Paterson,"Comedy,Drama,Romance",2016,2010,118,7.5,Jim Jarmusch,Adam Driver, Golshifteh Farahani, Nellie,2.14
2586,Pathology,"Crime,Horror,Thriller",2008,2000,95,6.0,Marc Schölermann,John de Lancie,Larry Drake,Johnny Whitworth,0.11
2587,Patriot Games,"Action,Thriller",1992,1990,117,6.9,Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,83.29
2588,Patriots Day,"Drama,History,Thriller",2016,2010,133,7.4,Peter Berg,Mark Wahlberg, Michelle Monaghan, J.K. Simmons,31.86
2589,Paul,"Adventure,Comedy,Sci-Fi",2011,2010,104,7.0,Greg Mottola,Simon Pegg, Nick Frost, Seth Rogen,37.37
2590,Paul Blart: Mall Cop,"Action,Comedy,Crime",2009,2000,91,5.2,Steve Carr,Erick Avari,Adhir Kalyan,Allen Covert,20.82
2591,Paul Blart: Mall Cop 2,"Action,Comedy,Crime",2015,2010,94,4.4,Andy Fickman,D.B. Woodside,Daniella Alonso,Eduardo Verástegui,71.04
2592,Pay It Forward,Drama,2000,2000,123,7.2,Mimi Leder,Kevin Spacey,Haley Joel Osment,Angie Dickinson,33.51
2593,Payback,"Action,Crime,Drama,Thriller",1999,1990,90,7.1,Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,81.52
2594,Paycheck,"Action,Mystery,Sci-Fi,Thriller",2003,2000,119,6.3,John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,53.79
2595,Peaceful Warrior,"Drama,Romance,Sport",2006,2000,120,7.3,Victor Salva,Scott Mechlowicz,Tim DeKay,Agnes Bruckner,1.06
