,title,genre,year,decade,runtime,rating,director,actor1,actor2,actor3,gross
857,Crocodile Dundee II,"Action,Adventure,Comedy",1988,1980,108,5.5,John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,109.31
858,Crocodile Dundee in Los Angeles,"Adventure,Comedy,Crime",2001,2000,92,4.8,Simon Wincer,Jere Burns,Paul Hogan,Linda Kozlowski,25.59
859,Crooklyn,"Comedy,Drama",1994,1990,115,6.9,Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,13.64
860,Crossover,"Action,Sport",2006,2000,95,2.1,Preston A. Whitmore II,Wesley Jonathan,Wayne Brady,Eva Marcille,7.01
861,Crossroads,"Comedy,Drama",2002,2000,93,3.3,Tamra Davis,Britney Spears,Katherine Boecher,Dave Allen,37.19
862,"Crouching Tiger, Hidden Dragon","Action,Drama,Romance",2000,2000,120,7.9,Ang Lee,Chen Chang,Pei-Pei Cheng,Sihung Lung,128.07
863,Croupier,"Mystery,Suspense",2000,2000,94,7.2,Mike Hodges,Clive Owen,Alex Kingston,Kate Hardie,
864,Cruel Intentions,"Drama,Romance",1999,1990,97,6.9,Roger Kumble,Sarah Michelle Gellar,Sean Patrick Thomas,Eric Mabius,38.2
865,Crumb,Comedy,1995,1990,119,8.0,Terry Zwigoff,Aline Kominsky,Charles Crumb,Maxon Crumb,
866,Cry Freedom,"Biography,Drama,History",1987,1980,147,7.5,Richard Attenborough,Denzel Washington,Kevin McNally,Penelope Wilton,5.9
867,Cry_Wolf,"Drama,Horror,Mystery,Thriller",2005,2000,90,5.9,Jeff Wadlow,Julian Morris,Gary Cole,Lindy Booth,10.04
868,Cube,"Mystery,Sci-Fi,Thriller",1997,1990,90,7.3,Vincenzo Natali,David Hewlett,Julian Richings,Nicole de Boer,0.49
869,Curdled,Drama,1996,1990,88,5.9,Reb Braddock,Angela Jones,William Baldwin,Bruce Ramsay,
870,Curious George,"Adventure,Animation,Comedy,Family",2006,2000,78,6.6,Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,58.34
871,Curly Sue,"Comedy, Kids&Family",1991,1990,102,4.9,John Hughes,Alisan Porter,Jim Belushi,Kelly Lynch,
872,Curse of the Golden Flower,"Drama,Romance",2006,2000,114,7.0,Yimou Zhang,Li Gong,Ye Liu,Man Li,6.57
873,Cursed,"Comedy,Horror",2005,2000,99,5.0,Wes Craven,Shannon Elizabeth,Portia de Rossi,Derek Mears,19.29
874,Cutthroat Island,"Action,Adventure,Comedy",1995,1990,124,5.6,Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,11.0
875,Cypher,"Action,Adventure",2002,2000,95,6.8,Vincenzo Natali,Jeremy Northam,Lucy Liu,Nigel Bennett,
876,Cyrus,"Comedy,Drama,Romance",2010,2010,91,6.3,Jay Duplass,Matt Walsh,Tim Guinee,Katie Aselton,7.46
877,D.E.B.S.,"Action,Comedy,Romance",2004,2000,91,5.3,Angela Robinson,Jordana Brewster,Geoff Stults,Scoot McNairy,0.1
878,DOA: Dead or Alive,"Action,Adventure",2006,2000,87,4.8,Corey Yuen,Steve Howey,Holly Valance,Sarah Carter,0.48
879,Daddy Day Camp,"Comedy,Family",2007,2000,89,2.9,Fred Savage,Lochlyn Munro,Brian Doyle-Murray,Tamala Jones,13.24
880,Daddy Day Care,"Comedy,Family",2003,2000,92,5.5,Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,104.15
881,Daddy's Home,"Comedy,Family",2015,2010,96,6.1,Sean Anders,Will Ferrell, Mark Wahlberg, Linda Cardellini,150.32
882,Dallas Buyers Club,"Biography,Drama",2013,2010,117,8.0,Jean-Marc Vallée,Matthew McConaughey, Jennifer Garner, Jared Leto,27.3
883,Damsels in Distress,"Comedy,Drama,Romance",2011,2010,99,5.7,Whit Stillman,Greta Gerwig,Megalyn Echikunwoke,Zach Woods,1.01
884,Dance Flick,"Action,Comedy,Music",2009,2000,88,3.5,Damien Dante Wayans,Damon Wayans Jr.,Essence Atkins,Chris Elliott,25.62
885,Dance of the Dead,"Action,Adventure",2008,2000,87,5.9,Gregg Bishop,Jared Kusnitz,Greyson Chadwick,Chandler Darby,
886,Dancer in the Dark,"Crime,Drama,Musical",2000,2000,140,8.0,Lars von Trier,Catherine Deneuve,Udo Kier,Björk,4.16
887,"Dancer, Texas Pop. 81","Comedy,Drama,Family",1998,1990,97,6.8,Tim McCanlies,Ethan Embry,Michael O'Neill,Alexandra Holden,0.57
888,Dances with Wolves,"Adventure,Drama,Western",1990,1990,236,8.0,Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,184.21
889,Dangal,"Action,Biography,Drama",2016,2010,161,8.8,Nitesh Tiwari,Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,11.15
890,Dangerous Liaisons,"Drama,Romance",1988,1980,119,7.7,Stephen Frears,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,34.7
891,Danny Collins,"Comedy,Drama,Music",2015,2010,106,7.1,Dan Fogelman,Al Pacino,Jennifer Garner,Melissa Benoist,5.35
892,Dante's Peak,"Action,Adventure,Thriller",1997,1990,108,5.8,Roger Donaldson,Jamie Renée Smith,Grant Heslov,Tzi Ma,67.16
893,Dare,Drama,2009,2000,92,5.9,Adam Salky,Emmy Rossum,Zach Gilford,Ashley Springer,
894,Dark Blue,"Crime,Drama,Romance,Thriller",2002,2000,118,6.6,Ron Shelton,Khandi Alexander,Dash Mihok,Michael Michele,9.06
895,Dark City,"Action,Drama,Fantasy,Mystery,Sci-Fi,Thriller",1998,1990,111,7.7,Alex Proyas,Rufus Sewell,William Hurt,Bruce Spence,14.34
896,Dark Shadows,"Comedy,Fantasy,Horror",2012,2010,113,6.2,Tim Burton,Johnny Depp, Michelle Pfeiffer, Eva Green,79.71
897,Dark Skies,"Mystery,Suspense",2013,2010,97,6.3,Scott Stewart,Keri Russell,Josh Hamilton,Dakota Goyo,
898,Dark Water,"Drama,Horror,Thriller",2005,2000,103,5.6,Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,25.47
899,Darkness,Horror,2002,2000,103,5.4,Jaume Balagueró,Lena Olin,Giancarlo Giannini,Francesc Pagès,22.16
900,Darkness Falls,"Horror,Mystery,Thriller",2003,2000,96,4.9,Jonathan Liebesman,Sullivan Stapleton,Emma Caulfield,Angus Sampson,32.13
901,Darling Companion,"Comedy,Drama,Romance",2012,2010,103,5.1,Lawrence Kasdan,Dianne Wiest,Mark Duplass,Sam Shepard,0.79
902,Darling Lili,"Comedy,Drama,Musical,Romance,War",1970,1970,143,6.2,Blake Edwards,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,5.0
903,Das Boot,"Adventure,Drama,Thriller,War",1981,1980,293,8.4,Wolfgang Petersen,Jürgen Prochnow,Martin Semmelrogge,Herbert Grönemeyer,11.43
904,Date Movie,"Comedy,Romance",2006,2000,85,2.7,Aaron Seltzer,Alyson Hannigan,Carmen Electra,Fred Willard,48.55
905,Date Night,"Comedy,Crime,Romance,Thriller",2010,2010,101,6.3,Shawn Levy,Mila Kunis,James Franco,Steve Carell,98.71
906,Dave Chappelle's Block Party,"Comedy,Documentary,Music",2005,2000,100,7.2,Michel Gondry,Common,Dave Chappelle,Lauryn Hill,11.69
907,Dawn of the Dead,"Action,Horror,Thriller",2004,2000,110,7.4,Zack Snyder,Ty Burrell,Kevin Zegers,Mekhi Phifer,58.89
908,Dawn of the Planet of the Apes,"Action,Adventure,Drama",2014,2010,130,7.6,Matt Reeves,Gary Oldman, Keri Russell, Andy Serkis,208.54
909,Daybreakers,"Action,Horror,Sci-Fi,Thriller",2009,2000,98,6.5,Michael Spierig,Jay Laga'aia,Damien Garvey,Tiffany Lamb,29.98
910,Daylight,"Action,Adventure,Drama,Thriller",1996,1990,114,5.8,Rob Cohen,Sylvester Stallone,Viggo Mortensen,Amy Brenneman,32.89
911,Days of Thunder,"Action,Drama,Sport",1990,1990,107,5.9,Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,82.67
912,Dazed and Confused,Comedy,1993,1990,102,7.7,Richard Linklater,Milla Jovovich,Adam Goldberg,Cole Hauser,7.99
913,De-Lovely,"Biography,Drama,Music,Musical",2004,2000,125,6.6,Irwin Winkler,Kevin McNally,Keith Allen,Sandra Nelson,13.34
914,Dead Awake,"Horror,Thriller",2016,2010,99,4.7,Phillip Guzman,Jocelin Donahue, Jesse Bradford, Jesse Borrego,0.01
915,Dead Man Down,"Action,Crime,Drama,Thriller",2013,2010,118,6.5,Niels Arden Oplev,Dominic Cooper,Isabelle Huppert,James Biberi,10.88
916,Dead Man Walking,"Crime,Drama",1995,1990,122,7.6,Tim Robbins,Lois Smith,Celia Weston,Robert Prosky,39.02
917,Dead Man on Campus,Comedy,1998,1990,96,6.0,Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,15.06
918,Dead Man's Shoes,"Crime,Drama,Thriller",2004,2000,90,7.7,Shane Meadows,Paddy Considine,Gary Stretch,George Newton,0.01
919,Dead Men Don't Wear Plaid,"Mystery,Suspense",1982,1980,88,6.8,Carl Reiner,Steve Martin,Rachel Ward,Reni Santoni,
920,Dead Poets Society,"Comedy,Drama",1989,1980,128,8.0,Peter Weir,Robin Williams,Josh Charles,Kurtwood Smith,95.86
921,Dead Snow,"Comedy,Horror",2009,2000,91,6.4,Tommy Wirkola,Bjørn Sundquist,Stig Frode Henriksen,Ane Dahl Torp,0.04
922,Deadfall,"Crime,Drama,Thriller",2012,2010,95,6.3,Stefan Ruzowitzky,Charlie Hunnam,Olivia Wilde,Sissy Spacek,0.07
923,Deadpool,"Action,Adventure,Comedy",2016,2010,108,8.0,Tim Miller,Ryan Reynolds, Morena Baccarin, T.J. Miller,363.02
924,Dear Frankie,"Drama,Romance",2004,2000,105,7.8,Shona Auerbach,Gerard Butler,Sharon Small,Jack McElhone,1.34
925,Dear John,"Drama,Romance,War",2010,2010,108,6.3,Lasse Hallström,Channing Tatum,Henry Thomas,Scott Porter,80.01
926,Dear Wendy,"Comedy,Crime,Drama,Romance",2004,2000,102,6.6,Thomas Vinterberg,Michael Angarano,Chris Owen,William Hootkins,0.02
927,Dear White People,"Comedy,Drama",2014,2010,108,6.2,Justin Simien,Tyler James Williams, Tessa Thompson, Kyle Gallner,4.4
928,Dear Zindagi,"Drama,Romance",2016,2010,151,7.8,Gauri Shinde,Alia Bhatt, Shah Rukh Khan, Kunal Kapoor,1.4
929,Death Becomes Her,"Comedy,Fantasy,Horror",1992,1990,104,6.4,Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,58.42
930,Death Defying Acts,Drama,2008,2000,97,5.9,Gillian Armstrong,Guy Pearce,Catherine Zeta-Jones,Timothy Spall,
931,Death Line (Raw Meat),Horror,1972,1970,87,6.0,Gary Sherman,Hugh Armstrong,James Cossins,Sharon Gurney,
932,Death Race,"Action,Sci-Fi,Thriller",2008,2000,105,6.4,Paul W.S. Anderson,Jason Statham, Joan Allen, Tyrese Gibson,36.06
933,Death Sentence,"Action,Crime,Thriller",2007,2000,111,6.8,James Wan,Aisha Tyler,Kelly Preston,Edi Gathegi,9.53
934,Death at a Funeral,Comedy,2007,2000,87,7.4,Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,8.58
935,Death to Smoochy,"Comedy,Crime,Drama,Thriller",2002,2000,109,6.4,Danny DeVito,Robin Williams,Vincent Schiavelli,Danny Woodburn,8.36
936,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Documentary,2012,2010,88,7.1,Molly Bernstein,David Mamet,Ricky Jay,Dick Cavett,0.15
937,Deck the Halls,"Comedy,Family",2006,2000,93,4.9,John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat,35.09
938,Deconstructing Harry,Comedy,1997,1990,96,7.4,Woody Allen,Woody Allen,Lynn Cohen,Judy Davis,10.57
939,Deep Blue Sea,"Action,Sci-Fi,Thriller",1999,1990,105,5.8,Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,73.65
940,Deep Impact,"Action,Drama,Romance,Sci-Fi,Thriller",1998,1990,120,6.1,Mimi Leder,Morgan Freeman,Jon Favreau,Robert Duvall,140.46
941,Deep Rising,"Action,Adventure,Horror,Sci-Fi",1998,1990,106,6.0,Stephen Sommers,Djimon Hounsou,Jason Flemyng,Wes Studi,11.15
942,Deepwater Horizon,"Action,Drama,Thriller",2016,2010,107,7.2,Peter Berg,Mark Wahlberg, Kurt Russell, Douglas M. Griffin,61.28
943,Defendor,"Comedy,Crime,Drama",2009,2000,95,6.8,Peter Stebbings,Michael Kelly,Tony Nappo,Charlotte Sullivan,0.04
944,"Definitely, Maybe","Comedy,Drama,Romance",2008,2000,112,7.2,Adam Brooks,Ryan Reynolds,Sakina Jaffrey,Paulina Gerzon,31.97
945,Delgo,"Adventure,Animation,Comedy,Fantasy,Romance",2008,2000,94,4.4,Marc F. Adler,Eric Idle,Anne Bancroft,Kelly Ripa,0.51
946,Deliver Us from Evil,"Horror,Mystery,Thriller",2014,2010,118,6.2,Scott Derrickson,Olivia Munn,Dorian Missick,Edgar Ramírez,30.52
947,Delivery Man,"Comedy,Drama",2013,2010,105,6.4,Ken Scott,Jack Reynor,Bobby Moynihan,Matthew Daddario,30.66
948,Demolition,"Comedy,Drama",2015,2010,101,7.0,Jean-Marc Vallée,Jake Gyllenhaal, Naomi Watts, Chris Cooper,1.82
949,Denial,"Biography,Drama",2016,2010,109,6.6,Mick Jackson,Rachel Weisz, Tom Wilkinson, Timothy Spall,4.07
950,Derailed,"Drama,Thriller",2005,2000,112,6.6,Mikael Håfström,Denis O'Hare,RZA,Xzibit,36.02
951,Desert Blue,Drama,1998,1990,90,6.2,Morgan J. Freeman,Ethan Suplee,John Heard,Sara Gilbert,0.1
952,Desert Dancer,"Biography,Drama",2014,2010,104,6.0,Richard Raymond,Tom Cullen,Reece Ritchie,Marama Corlett,0.14
953,Desperado,"Action,Crime,Thriller",1995,1990,104,7.2,Robert Rodriguez,Quentin Tarantino,Steve Buscemi,Salma Hayek,25.63
954,Desperate Measures,Drama,1997,1990,100,6.1,Barbet Schroeder,Michael Keaton,Andy Garcia,Brian Cox,
955,Despicable Me,"Animation,Adventure,Comedy",2010,2010,95,7.7,Pierre Coffin,Steve Carell, Jason Segel, Russell Brand,251.5
956,Despicable Me 2,"Animation,Adventure,Comedy",2013,2010,98,7.4,Pierre Coffin,Steve Carell, Kristen Wiig, Benjamin Bratt,368.05
957,Detention of the Dead,"Comedy,Horror",2012,2010,87,4.6,Alex Craig Mann,Justin Chon,Christa B. Allen,Max Adler,0.0
958,Deterrence,"Drama,Thriller",1999,1990,104,6.5,Rod Lurie,Kevin Pollak,Kathryn Morris,Timothy Hutton,0.14
959,Detroit Rock City,"Comedy,Music",1999,1990,95,6.8,Adam Rifkin,Natasha Lyonne,Lin Shaye,Shannon Tweed,4.19
960,Deuce Bigalow: European Gigolo,Comedy,2005,2000,83,4.6,Mike Bigelow,Carlos Ponce,Eddie Griffin,Charles Keating,22.26
961,Deuce Bigalow: Male Gigolo,"Comedy,Romance",1999,1990,88,5.7,Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,65.54
962,Deuces Wild,"Action,Crime,Drama",2002,2000,96,5.6,Scott Kalvert,Norman Reedus,James Franco,Frankie Muniz,6.04
963,Devil,"Horror,Mystery,Thriller",2010,2010,80,6.3,John Erick Dowdle,Bojana Novakovic,Bokeem Woodbine,Geoffrey Arend,33.58
964,Devil's Due,"Horror,Mystery",2014,2010,89,4.0,Matt Bettinelli-Olpin,Zach Gilford,Allison Miller,Vanessa Ray,15.82
965,Diamonds Are Forever,"Action,Adventure,Thriller",1971,1970,120,6.7,Guy Hamilton,Desmond Llewelyn,Lois Maxwell,Jill St. John,43.8
966,Diary of a Mad Black Woman,"Comedy,Drama,Romance",2005,2000,116,5.6,Darren Grant,Cicely Tyson,Kimberly Elise,Tamara Taylor,50.38
967,Diary of a Wimpy Kid,"Comedy,Family",2010,2010,94,6.2,Thor Freudenthal,Zachary Gordon, Robert Capron, Rachael Harris,64.0
968,Diary of a Wimpy Kid: Dog Days,"Comedy,Family",2012,2010,94,6.4,David Bowers,Zachary Gordon, Robert Capron, Devon Bostick,49.0
969,Diary of a Wimpy Kid: Rodrick Rules,"Comedy,Family",2011,2010,99,6.6,David Bowers,Zachary Gordon, Devon Bostick, Robert Capron,52.69
970,Diary of the Dead,Horror,2007,2000,95,5.7,George A. Romero,Megan Park,Shawn Roberts,Joe Dinicol,0.95
971,Dick,Comedy,1999,1990,94,6.1,Andrew Fleming,Ryan Reynolds,Will Ferrell,Kirsten Dunst,6.24
972,Dick Tracy,"Action,Comedy,Crime,Music,Romance,Thriller",1990,1990,105,6.1,Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel,103.74
973,Dickie Roberts: Former Child Star,Comedy,2003,2000,98,5.6,Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,22.73
974,Did You Hear About the Morgans?,"Comedy,Drama,Romance",2009,2000,103,4.7,Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,29.58
975,Die Another Day,"Action,Adventure,Thriller",2002,2000,133,6.1,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,160.2
976,Die Hard,"Action,Thriller",1988,1980,131,8.2,John McTiernan,Alan Rickman,Bruce Willis,Reginald VelJohnson,81.35
977,Die Hard 2,"Action,Thriller",1990,1990,124,7.1,Renny Harlin,Bruce Willis,John Amos,Franco Nero,117.54
978,Die Hard with a Vengeance,"Action,Adventure,Thriller",1995,1990,128,7.6,John McTiernan,Bruce Willis,Aldis Hodge,Kevin Chamberlin,100.01
979,Digimon: The Movie,"Action,Adventure,Animation,Family,Sci-Fi",2000,2000,82,5.9,Mamoru Hosoda,Lara Jill Miller,Colleen O'Shaughnessey,Mona Marshall,9.63
980,Diner,"Comedy,Drama",1982,1980,110,7.2,Barry Levinson,Steve Guttenberg,Daniel Stern,Ellen Barkin,14.1
981,Dinner Rush,"Crime,Drama,Romance",2000,2000,99,7.3,Bob Giraldi,Danny Aiello,Manny Perez,Ajay Naidu,0.11
982,Dinner for Schmucks,Comedy,2010,2010,114,5.9,Jay Roach,Steve Carell,Stephanie Szostak,Bruce Greenwood,72.98
983,Dinosaur,"Adventure,Animation,Family,Thriller",2000,2000,82,6.5,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,137.75
984,Dirty Grandpa,Comedy,2016,2010,102,6.0,Dan Mazer,Robert De Niro, Zac Efron, Zoey Deutch,35.54
985,Dirty Love,Comedy,2005,2000,91,3.5,John Mallory Asher,Jenny McCarthy,Carmen Electra,Eddie Kaye Thomas,
986,Dirty Pretty Things,"Crime,Drama,Thriller",2002,2000,97,7.4,Stephen Frears,Sophie Okonedo,Benedict Wong,Sergi López,8.11
987,Dirty Sanchez: The Movie,Comedy,2007,2000,94,6.2,Jim Hickey,Lee Dainton,Dan Joyce,Michael Pancho Locke,
988,Dirty Work,Comedy,1998,1990,82,6.4,Bob Saget,Don Rickles,Jack Warden,Traylor Howard,9.98
989,Disaster Movie,Comedy,2008,2000,87,1.9,Jason Friedberg,Carmen Electra, Vanessa Lachey,Nicole Parker,14.17
990,Disclosure,"Drama,Thriller",1994,1990,128,6.0,Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,83.0
991,District 9,"Action,Sci-Fi,Thriller",2009,2000,112,8.0,Neill Blomkamp,Sharlto Copley, David James, Jason Cope,115.65
992,District B13,"Action,Crime,Thriller",2004,2000,84,7.2,Pierre Morel,David Belle,Cyril Raffaelli,Dany Verissimo-Petit,1.2
993,Disturbia,"Drama,Mystery,Thriller",2007,2000,105,6.9,D.J. Caruso,Shia LaBeouf, David Morse, Carrie-Anne Moss,80.05
994,Disturbing Behavior,"Horror,Mystery,Sci-Fi,Thriller",1998,1990,84,5.5,David Nutter,Bruce Greenwood,Ethan Embry,Katharine Isabelle,17.41
995,Divergent,"Adventure,Mystery,Sci-Fi",2014,2010,139,6.7,Neil Burger,Shailene Woodley, Theo James, Kate Winslet,150.83
996,Divine Secrets of the Ya-Ya Sisterhood,Drama,2002,2000,116,6.0,Callie Khouri,Ellen Burstyn,Fionnula Flanagan,Matthew Settle,69.59
997,Django Unchained,"Drama,Western",2012,2010,165,8.4,Quentin Tarantino,Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,162.8
998,Do You Believe?,Drama,2015,2010,120,5.9,Jon Gunn,Alexa PenaVega,Delroy Lindo,Madison Pettis,12.99
999,Do the Right Thing,Drama,1989,1980,120,7.9,Spike Lee,Ruby Dee,John Savage,Danny Aiello,27.55
1000,Doctor Dolittle,"Comedy,Family,Fantasy",1998,1990,85,5.3,Betty Thomas,Oliver Platt,Raven-Symoné,Peter Boyle,144.16
1001,Doctor Strange,"Action,Adventure,Fantasy",2016,2010,115,7.6,Scott Derrickson,Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams,232.6
1002,Doctor Zhivago,"Drama,Romance,War",1965,1920-1960,200,8.0,David Lean,Julie Christie,Klaus Kinski,Geraldine Chaplin,111.72
1003,Dodgeball: A True Underdog Story,"Comedy,Sport",2004,2000,92,6.7,Rawson Marshall Thurber,Gary Cole,Stephen Root,Joel David Moore,114.32
1004,Dog Park,Comedy,1998,1990,91,5.1,Bruce McCulloch,Natasha Henstridge,Janeane Garofalo,Luke Wilson,
1005,Dogma,"Adventure,Comedy,Drama,Fantasy",1999,1990,130,7.4,Kevin Smith,Matt Damon,Janeane Garofalo,George Carlin,30.65
1006,Dogtooth,"Drama,Thriller",2009,2000,94,7.3,Yorgos Lanthimos,Angeliki Papoulia,Mary Tsoni,Sissy Petropoulou,0.11
1007,Dogtown and Z-Boys,"Documentary,Sport",2001,2000,91,7.7,Stacy Peralta,Tony Alva,Jay Adams,Jeff Ament,1.29
1008,Dolphin Tale,"Drama,Family",2011,2010,113,6.9,Charles Martin Smith,Morgan Freeman,Michael Roark,Harry Connick Jr.,72.28
1009,Dolphin Tale 2,"Drama,Family",2014,2010,107,6.4,Charles Martin Smith,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.,42.02
1010,Dom Hemingway,"Comedy,Crime,Drama",2013,2010,93,6.2,Richard Shepard,Richard E. Grant,Mark Wingett,Richard Graham,0.52
1011,Domestic Disturbance,"Crime,Mystery,Thriller",2001,2000,89,5.5,Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,45.21
1012,Domino,"Action,Biography,Crime,Drama,Thriller",2005,2000,127,6.0,Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,10.14
1013,Don Jon,"Comedy,Drama,Romance",2013,2010,90,6.6,Joseph Gordon-Levitt,Joseph Gordon-Levitt, Scarlett Johansson,Julianne Moore,24.48
1014,Don Juan DeMarco,"Comedy,Drama,Romance",1994,1990,97,6.8,Jeremy Leven,Johnny Depp,Marlon Brando,Faye Dunaway,22.2
1015,Don't Be Afraid of the Dark,"Fantasy,Horror,Thriller",2010,2010,99,5.6,Troy Nixey,Bailee Madison,Alan Dale,Jack Thompson,24.04
1016,Don't Breathe,"Crime,Horror,Thriller",2016,2010,88,7.2,Fede Alvarez,Stephen Lang, Jane Levy, Dylan Minnette,89.21
1017,Don't Say a Word,"Crime,Drama,Mystery,Thriller",2001,2000,113,6.3,Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,55.0
1018,Don't Think Twice,"Comedy,Drama",2016,2010,92,6.8,Mike Birbiglia,Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia,4.42
1019,Donkey Punch,"Crime,Drama,Horror,Thriller",2008,2000,99,5.2,Oliver Blackburn,Julian Morris,Nichola Burley,Tom Burke,0.02
1020,Donnie Brasco,"Biography,Crime,Drama",1997,1990,147,7.8,Mike Newell,Johnny Depp,Al Pacino,Anne Heche,41.95
1021,Donnie Darko,"Drama,Sci-Fi,Thriller",2001,2000,133,8.1,Richard Kelly,Jake Gyllenhaal,Mary McDonnell,James Duval,0.73
1022,Doogal,"Adventure,Animation,Comedy,Family,Fantasy",2006,2000,77,2.8,Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,7.38
1023,Doom,"Action,Adventure,Horror,Sci-Fi",2005,2000,113,5.2,Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Dexter Fletcher,28.03
1024,Doomsday,"Action,Sci-Fi,Thriller",2008,2000,113,6.0,Neil Marshall,Ryan Kruger,Jason Cope,Jeremy Crutchley,10.96
1025,Dope,"Comedy,Crime,Drama",2015,2010,103,7.3,Rick Famuyiwa,Shameik Moore, Tony Revolori, Kiersey Clemons,17.47
1026,Double Impact,"Action,Crime",1991,1990,110,5.5,Sheldon Lettich,Bolo Yeung,Alonna Shaw,Kamel Krifa,30.1
1027,Double Jeopardy,"Crime,Mystery,Thriller",1999,1990,105,6.4,Bruce Beresford,Bruce Greenwood,Annabeth Gish,Bruce Campbell,116.74
1028,Double Take,"Action,Comedy,Crime,Thriller",2001,2000,88,5.3,George Gallo,Daniel Roebuck,Eddie Griffin,Garcelle Beauvais,0.02
1029,Doubt,"Drama,Mystery",2008,2000,104,7.5,John Patrick Shanley,Philip Seymour Hoffman,Meryl Streep,Carrie Preston,33.42
1030,Doug's 1st Movie,"Animation,Comedy,Family",1999,1990,77,5.0,Maurice Joyce,Frank Welker,Constance Shulman,Alice Playten,19.42
1031,Down Terrace,"Comedy,Crime,Drama",2009,2000,93,6.5,Ben Wheatley,Michael Smiley,Tony Way,David Schaal,0.01
1032,Down and Out with the Dolls,"Comedy,Music",2001,2000,88,6.1,Kurt Voss,Lemmy,Coyote Shivers,Zoë Poledouris,0.06
1033,Down in the Valley,"Drama,Romance,Thriller",2005,2000,108,6.5,David Jacobson,Hunter Parrish,Bruce Dern,Rory Culkin,0.57
1034,Down to Earth,"Comedy,Fantasy",2001,2000,87,5.4,Chris Weitz,Chazz Palminteri,Mark Addy,Wanda Sykes,64.17
1035,Down to You,"Comedy,Drama,Romance",2000,2000,91,4.9,Kris Isacsson,Rosario Dawson,Lauren German,Shawn Hatosy,20.04
1036,Downfall,"Biography,Drama,History,War",2004,2000,178,8.3,Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,5.5
1037,Dr. Dolittle 2,"Comedy,Family,Fantasy",2001,2000,87,4.6,Steve Carr,Raven-Symoné,Jeffrey Jones,Kevin Pollak,112.95
1038,Dr. No,"Action,Adventure,Thriller",1962,1920-1960,110,7.3,Terence Young,Ursula Andress,Jack Lord,Lois Maxwell,16.07
1039,Dracula 2000,"Action,Fantasy,Horror,Thriller",2000,2000,99,4.9,Patrick Lussier,Gerard Butler,Danny Masterson,Jeri Ryan,33.0
1040,Dracula Untold,"Action,Drama,Fantasy",2014,2010,92,6.3,Gary Shore,Luke Evans, Dominic Cooper, Sarah Gadon,55.94
1041,Dracula: Pages from a Virgin's Diary,"Comedy,Horror,Musical",2002,2000,73,7.0,Guy Maddin,Sarah Murphy-Dyson,CindyMarie Small,Brent Neale,0.04
1042,Draft Day,"Drama,Sport",2014,2010,110,6.8,Ivan Reitman,Jennifer Garner,Chi McBride,Patrick St. Esprit,28.83
1043,Drag Me to Hell,"Horror,Thriller",2009,2000,99,6.6,Sam Raimi,Bojana Novakovic,Alison Lohman,Reggie Lee,42.06
1044,Dragon Blade,"Action,Adventure,Drama,History",2015,2010,103,6.1,Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,0.07
1045,Dragon Wars,Drama,2007,2000,90,3.6,Hyung-rae Shim,Jason Behr,Amanda Brooks,Robert Forster,
1046,Dragon Wars: D-War,"Action,Drama,Fantasy,Horror,Thriller",2007,2000,107,3.6,Hyung-rae Shim,Robert Forster,Aimee Garcia,Chris Mulkey,10.96
